Time,PositionX,PositionY,PositionZ,Vx,Ax,Y,YDot,Psi,PsiDot,EngineRpm
0,2.1,0,-9.999924,0.003822998,0.19115,0,0,0,0,0
0.01999999,2.1,0,-9.999653,0.01356161,0.4869309,0,0,0,0,0
0.03999998,2.1,0,-9.999196,0.02284291,0.4640649,0,0,0,0,0
0.05999998,2.1,0,-9.998545,0.03259099,0.4874046,0,0,0,0,0
0.07999997,2.1,0,-9.997691,0.0426679,0.5038453,0,0,0,0,0
0.09999996,2.1,0,-9.99663,0.05309025,0.521118,0,0,0,0,0
0.12,2.1,0,-9.995353,0.06385224,0.5380992,0,0,0,0,0
0.14,2.1,0,-9.993854,0.07495131,0.5549537,0,0,0,0,0
0.1599999,2.1,0,-9.992126,0.08638448,0.5716591,0,0,0,0,0
0.1799999,2.1,0,-9.990163,0.09814887,0.58822,0,0,0,0,0
0.1999999,2.1,0,-9.987958,0.1102416,0.6046373,0,0,0,0,0
0.2199999,2.1,0,-9.985505,0.1226599,0.6209121,0,0,0,0,0
0.2399999,2.1,0,-9.982797,0.1354008,0.6370459,0,0,0,0,0
0.2599999,2.1,0,-9.979828,0.1484616,0.6530398,0,0,0,0,0
0.2799999,2.1,0,-9.976591,0.1618395,0.6688949,0,0,0,0,0
0.2999999,2.1,0,-9.973081,0.1755317,0.6846127,0,0,0,0,0
0.3199999,2.1,0,-9.96929,0.1895356,0.7001941,0,0,0,0,0
0.3399999,2.1,0,-9.965213,0.2038484,0.7156404,0,0,0,0,0
0.3599999,2.1,0,-9.960843,0.2184674,0.7309528,0,0,0,0,0
0.3799999,2.1,0,-9.956175,0.2333901,0.7461324,0,0,0,0,0
0.3999999,2.1,0,-9.951202,0.2486137,0.7611804,0,0,0,0,0
0.4199998,2.1,0,-9.94592,0.2641356,0.776098,0,0,0,0,0
0.4399998,2.1,0,-9.940321,0.2799534,0.7908863,0,0,0,0,0
0.4599998,2.1,0,-9.9344,0.2960643,0.8055462,0,0,0,0,0
0.4799998,2.1,0,-9.92815,0.3124659,0.8200791,0,0,0,0,0
0.4999998,2.1,0,-9.921567,0.3291556,0.834486,0,0,0,0,0
0.5199998,2.1,0,-9.914644,0.3461309,0.848768,0,0,0,0,0
0.5399998,2.1,0,-9.907376,0.3633895,0.8629262,0,0,0,0,0
0.5599998,2.1,0,-9.899757,0.3809287,0.8769615,0,0,0,0,0
0.5799998,2.1,0,-9.891783,0.3987462,0.8908752,0,0,0,0,0
0.5999998,2.1,0,-9.883446,0.4168395,0.9046684,0,0,0,0,0
0.6199998,2.1,0,-9.874742,0.4352064,0.918342,0,0,0,0,850
0.6399997,2.1,0,-9.865664,0.4538443,0.931897,0,0,0,0,880
0.6599998,2.1,0,-9.85621,0.472751,0.9453344,0,0,0,0,898
0.6799998,2.1,0,-9.846372,0.4919241,0.9586555,0,0,0,0,908.8
0.6999997,2.1,0,-9.836144,0.5113613,0.9718609,0,0,0,0,915.28
0.7199997,2.1,0,-9.825523,0.5310603,0.984952,0,0,0,0,919.168
0.7399997,2.1,0,-9.814503,0.5510189,0.9979295,0,0,0,0,921.5009
0.7599998,2.1,0,-9.803078,0.5712348,1.010795,0,0,0,0,922.9005
0.7799997,2.1,0,-9.791244,0.5917057,1.023548,0,0,0,0,923.7403
0.7999997,2.1,0,-9.778995,0.6124296,1.036191,0,0,0,0,924.2442
0.8199997,2.1,0,-9.766327,0.633404,1.048724,0,0,0,0,924.5465
0.8399997,2.1,0,-9.753234,0.654627,1.061149,0,0,0,0,924.7279
0.8599997,2.1,0,-9.739712,0.6760963,1.073466,0,0,0,0,924.8367
0.8799997,2.1,0,-9.725756,0.6978098,1.085676,0,0,0,0,924.902
0.8999997,2.1,0,-9.71136,0.7197654,1.09778,0,0,0,0,924.9412
0.9199997,2.1,0,-9.696521,0.7419609,1.109779,0,0,0,0,924.9647
0.9399996,2.1,0,-9.681232,0.7643944,1.121675,0,0,0,0,924.9788
0.9599997,2.1,0,-9.665491,0.7870637,1.133467,0,0,0,0,924.9873
0.9799997,2.1,0,-9.649292,0.8099669,1.145157,0,0,0,0,924.9924
0.9999996,2.1,0,-9.63263,0.8331017,1.156745,0,0,0,0,924.9954
1.02,2.1,0,-9.615501,0.8564664,1.168233,0,0,0,0,924.9973
1.04,2.1,0,-9.5979,0.8800588,1.179621,0,0,0,0,924.9984
1.06,2.1,0,-9.579823,0.903877,1.190911,0,0,0,0,924.999
1.08,2.1,0,-9.561264,0.9279191,1.202103,0,0,0,0,924.9995
1.1,2.1,0,-9.54222,0.952183,1.213197,0,0,0,0,924.9997
1.12,2.1,0,-9.522687,0.9766669,1.224196,0,0,0,0,924.9998
1.14,2.1,0,-9.50266,1.001369,1.235099,0,0,0,0,924.9999
1.16,2.1,0,-9.482134,1.026287,1.245907,0,0,0,0,924.9999
1.18,2.1,0,-9.461105,1.051419,1.256622,0,0,0,0,925
1.2,2.1,0,-9.43957,1.076764,1.267244,0,0,0,0,925
1.22,2.1,0,-9.417524,1.10232,1.277773,0,0,0,0,925
1.24,2.1,0,-9.394962,1.128084,1.288212,0,0,0,0,925
1.26,2.1,0,-9.371881,1.154055,1.298559,0,0,0,0,925
1.279999,2.1,0,-9.348277,1.180231,1.308817,0,0,0,0,925
1.3,2.1,0,-9.324145,1.206611,1.318986,0,0,0,0,925
1.32,2.1,0,-9.299481,1.233192,1.329067,0,0,0,0,925
1.34,2.1,0,-9.274282,1.259974,1.33906,0,0,0,0,925
1.36,2.1,0,-9.248543,1.286953,1.348967,0,0,0,0,925
1.38,2.1,0,-9.22226,1.314129,1.358787,0,0,0,0,925
1.399999,2.1,0,-9.195431,1.341499,1.368522,0,0,0,0,925
1.419999,2.1,0,-9.16805,1.369063,1.378173,0,0,0,0,925
1.439999,2.1,0,-9.140114,1.396817,1.38774,0,0,0,0,925
1.459999,2.1,0,-9.111619,1.424762,1.397224,0,0,0,0,925
1.479999,2.1,0,-9.082561,1.452894,1.406625,0,0,0,0,925
1.5,2.1,0,-9.052938,1.481213,1.415945,0,0,0,0,925
1.52,2.1,0,-9.022743,1.509717,1.425184,0,0,0,0,925
1.539999,2.1,0,-8.991975,1.538404,1.434342,0,0,0,0,925
1.559999,2.1,0,-8.960629,1.567272,1.443421,0,0,0,0,925
1.579999,2.1,0,-8.928703,1.596321,1.452421,0,0,0,0,925
1.599999,2.1,0,-8.896193,1.625548,1.461343,0,0,0,0,925
1.619999,2.1,0,-8.863093,1.654951,1.470188,0,0,0,0,925
1.639999,2.1,0,-8.829403,1.68453,1.478955,0,0,0,0,925
1.659999,2.1,0,-8.795117,1.714283,1.487646,0,0,0,0,925
1.679999,2.1,0,-8.760233,1.744208,1.496262,0,0,0,0,925
1.699999,2.1,0,-8.724747,1.774305,1.504803,0,0,0,0,925
1.719999,2.1,0,-8.688655,1.80457,1.513269,0,0,0,0,925
1.739999,2.1,0,-8.651955,1.835003,1.521662,0,0,0,0,925
1.759999,2.1,0,-8.614642,1.865603,1.529982,0,0,0,0,925
1.779999,2.1,0,-8.576715,1.896367,1.538229,0,0,0,0,925
1.799999,2.1,0,-8.538169,1.927295,1.546404,0,0,0,0,925
1.819999,2.1,0,-8.499002,1.958385,1.554509,0,0,0,0,925
1.839999,2.1,0,-8.459208,1.989636,1.562542,0,0,0,0,925
1.859999,2.1,0,-8.418788,2.021046,1.570506,0,0,0,0,925
1.879999,2.1,0,-8.377736,2.052614,1.578401,0,0,0,0,925
1.899999,2.1,0,-8.336049,2.084339,1.586226,0,0,0,0,925
1.919999,2.1,0,-8.293725,2.116219,1.593983,0,0,0,0,925
1.939999,2.1,0,-8.25076,2.148252,1.601673,0,0,0,0,925
1.959999,2.1,0,-8.207151,2.180438,1.609295,0,0,0,0,925
1.979999,2.1,0,-8.162896,2.212775,1.616852,0,0,0,0,925.1359
1.999999,2.1,0,-8.11799,2.245262,1.624342,0,0,0,0,929.9651
2.019999,2.1,0,-8.072433,2.277897,1.631767,0,0,0,0,937.6325
2.039999,2.1,0,-8.026219,2.310679,1.639126,0,0,0,0,947.0245
2.059999,2.1,0,-7.979347,2.343608,1.646422,0,0,0,0,957.4728
2.079999,2.1,0,-7.931814,2.376681,1.653654,0,0,0,0,968.5765
2.099999,2.1,0,-7.883616,2.409897,1.660822,0,0,0,0,980.0945
2.119999,2.1,0,-7.834751,2.443256,1.667929,0,0,0,0,991.8822
2.139999,2.1,0,-7.785215,2.476755,1.674973,0,0,0,0,1003.853
2.159999,2.1,0,-7.735007,2.510395,1.681955,0,0,0,0,1015.953
2.179999,2.1,0,-7.684124,2.544172,1.688876,0,0,0,0,1028.153
2.199999,2.1,0,-7.632562,2.578087,1.695736,0,0,0,0,1040.432
2.219999,2.1,0,-7.580319,2.612138,1.702536,0,0,0,0,1052.778
2.239999,2.1,0,-7.527393,2.646323,1.709277,0,0,0,0,1065.186
2.259999,2.1,0,-7.47378,2.680642,1.715959,0,0,0,0,1077.65
2.279999,2.1,0,-7.419478,2.715094,1.722582,0,0,0,0,1090.167
2.299999,2.1,0,-7.364485,2.749677,1.729147,0,0,0,0,1102.735
2.319999,2.1,0,-7.308797,2.78439,1.735655,0,0,0,0,1115.354
2.339999,2.1,0,-7.252412,2.819232,1.742105,0,0,0,0,1128.021
2.359999,2.1,0,-7.195328,2.854202,1.748498,0,0,0,0,1140.738
2.379999,2.1,0,-7.137542,2.889299,1.754836,0,0,0,0,1153.502
2.399999,2.1,0,-7.079052,2.924521,1.761118,0,0,0,0,1166.313
2.419999,2.1,0,-7.019855,2.959868,1.767344,0,0,0,0,1179.171
2.439999,2.1,0,-6.959948,2.995338,1.773515,0,0,0,0,1192.076
2.459999,2.1,0,-6.899329,3.030931,1.779633,0,0,0,0,1205.027
2.479999,2.1,0,-6.837996,3.066645,1.785696,0,0,0,0,1218.023
2.499999,2.1,0,-6.775947,3.102479,1.791706,0,0,0,0,1231.064
