Time,PositionX,PositionY,PositionZ,Vx,Ax,Y,YDot,Psi,PsiDot,EngineRpm
0,0.1,0,0,0,0,0,0,0,0,0
0.01999999,0.1,0,0,0,0,0,0,0,0,0
0.03999998,0.1,0,0,0,0,0,0,0,0,0
0.05999998,0.1,0,0,0,0,0,0,0,0,0
0.07999997,0.1,0,0,0,0,0,0,0,0,0
0.09999996,0.1,0,0,0,0,0,0,0,0,0
0.12,0.1,0,0,0,0,0,0,0,0,0
0.14,0.1,0,0,0,0,0,0,0,0,0
0.1599999,0.1,0,0,0,0,0,0,0,0,0
0.1799999,0.1,0,0,0,0,0,0,0,0,0
0.1999999,0.1,0,0,0,0,0,0,0,0,0
0.2199999,0.1,0,0,0,0,0,0,0,0,0
0.2399999,0.1,0,0,0,0,0,0,0,0,0
0.2599999,0.1,0,0,0,0,0,0,0,0,0
0.2799999,0.1,0,0,0,0,0,0,0,0,0
0.2999999,0.1,0,0,0,0,0,0,0,0,0
0.3199999,0.1,0,0,0,0,0,0,0,0,0
0.3399999,0.1,0,0,0,0,0,0,0,0,0
0.3599999,0.1,0,0,0,0,0,0,0,0,0
0.3799999,0.1,0,0,0,0,0,0,0,0,0
0.3999999,0.1,0,0,0,0,0,0,0,0,0
0.4199998,0.1,0,0,0,0,0,0,0,0,0
0.4399998,0.1,0,0,0,0,0,0,0,0,0
0.4599998,0.1,0,0,0,0,0,0,0,0,0
0.4799998,0.1,0,0,0,0,0,0,0,0,0
0.4999998,0.1,0,0,0,0,0,0,0,0,0
0.5199998,0.1,0,0,0,0,0,0,0,0,0
0.5399998,0.1,0,0,0,0,0,0,0,0,0
0.5599998,0.1,0,0,0,0,0,0,0,0,0
0.5799998,0.1,0,0,0,0,0,0,0,0,0
0.5999998,0.1,0,0,0,0,0,0,0,0,0
0.6199998,0.1,0,0,0,0,0,0,0,0,800
0.6399997,0.1,0,0,0,0,0,0,0,0,800
0.6599998,0.1,0,0,0,0,0,0,0,0,800
0.6799998,0.1,0,0,0,0,0,0,0,0,800
0.6999997,0.1,0,0,0,0,0,0,0,0,800
0.7199997,0.1,0,0,0,0,0,0,0,0,800
0.7399997,0.1,0,0,0,0,0,0,0,0,800
0.7599998,0.1,0,0,0,0,0,0,0,0,800
0.7799997,0.1,0,0,0,0,0,0,0,0,800
0.7999997,0.1,0,0,0,0,0,0,0,0,800
0.8199997,0.1,0,0,0,0,0,0,0,0,800
0.8399997,0.1,0,0,0,0,0,0,0,0,800
0.8599997,0.1,0,0,0,0,0,0,0,0,800
0.8799997,0.1,0,0,0,0,0,0,0,0,800
0.8999997,0.1,0,0,0,0,0,0,0,0,800
0.9199997,0.1,0,0,0,0,0,0,0,0,800
0.9399996,0.1,0,0,0,0,0,0,0,0,800
0.9599997,0.1,0,0,0,0,0,0,0,0,800
0.9799997,0.1,0,0,0,0,0,0,0,0,800
0.9999996,0.1,0,0,0,0,0,0,0,0,800
1.02,0.1,0,0,0,0,0,0,0,0,800
1.04,0.1,0,0,0,0,0,0,0,0,800
1.06,0.1,0,0,0,0,0,0,0,0,800
1.08,0.1,0,0,0,0,0,0,0,0,800
1.1,0.1,0,0,0,0,0,0,0,0,800
1.12,0.1,0,0,0,0,0,0,0,0,800
1.14,0.1,0,0,0,0,0,0,0,0,800
1.16,0.1,0,0,0,0,0,0,0,0,800
1.18,0.1,0,0,0,0,0,0,0,0,800
1.2,0.1,0,0,0,0,0,0,0,0,800
1.22,0.1,0,0,0,0,0,0,0,0,800
1.24,0.1,0,0,0,0,0,0,0,0,800
1.26,0.1,0,0,0,0,0,0,0,0,800
1.279999,0.1,0,0,0,0,0,0,0,0,800
1.3,0.1,0,0,0,0,0,0,0,0,800
1.32,0.1,0,0,0,0,0,0,0,0,800
1.34,0.1,0,0,0,0,0,0,0,0,800
1.36,0.1,0,0,0,0,0,0,0,0,800
1.38,0.1,0,0,0,0,0,0,0,0,800
1.399999,0.1,0,0,0,0,0,0,0,0,800
1.419999,0.1,0,0,0,0,0,0,0,0,800
1.439999,0.1,0,0,0,0,0,0,0,0,800
1.459999,0.1,0,0,0,0,0,0,0,0,800
1.479999,0.1,0,0,0,0,0,0,0,0,800
1.5,0.1,0,0,0,0,0,0,0,0,800
1.52,0.1,0,0,0,0,0,0,0,0,800
1.539999,0.1,0,0,0,0,0,0,0,0,800
1.559999,0.1,0,0,0,0,0,0,0,0,800
1.579999,0.1,0,0,0,0,0,0,0,0,800
1.599999,0.1,0,0,0,0,0,0,0,0,800
1.619999,0.1,0,0,0,0,0,0,0,0,800
