Time,PositionX,PositionY,PositionZ,Vx,Ax,Y,YDot,Psi,PsiDot,EngineRpm
0,2.1,0,-19.99992,0.003822998,0.19115,0,0,0,0,0
0.01999999,2.1,0,-19.99977,0.007546599,0.1861801,0,0,0,0,0
0.03999998,2.1,0,-19.99953,0.01204865,0.2251028,0,0,0,0,0
0.05999998,2.1,0,-19.9992,0.01642388,0.2187616,0,0,0,0,0
0.07999997,2.1,0,-19.99879,0.02091998,0.224805,0,0,0,0,0
0.09999996,2.1,0,-19.99828,0.02548672,0.2283372,0,0,0,0,0
0.12,2.1,0,-19.99767,0.03013613,0.2324703,0,0,0,0,0
0.14,2.1,0,-19.99698,0.03486835,0.2366113,0,0,0,0,0
0.1599999,2.1,0,-19.99618,0.03968563,0.2408642,0,0,0,0,0
0.1799999,2.1,0,-19.99529,0.04458981,0.2452088,0,0,0,0,0
0.1999999,2.1,0,-19.9943,0.04958272,0.249646,0,0,0,0,0
0.2199999,2.1,0,-19.99321,0.05466619,0.2541736,0,0,0,0,0
0.2399999,2.1,0,-19.99201,0.05984198,0.2587897,0,0,0,0,0
0.2599999,2.1,0,-19.99071,0.06511183,0.2634924,0,0,0,0,0
0.2799999,2.1,0,-19.9893,0.07047743,0.2682797,0,0,0,0,0
0.2999999,2.1,0,-19.98778,0.07594042,0.2731501,0,0,0,0,0
0.3199999,2.1,0,-19.98615,0.08150245,0.2781016,0,0,0,0,0
0.3399999,2.1,0,-19.98441,0.08716509,0.2831323,0,0,0,0,0
0.3599999,2.1,0,-19.98255,0.09292991,0.2882408,0,0,0,0,0
0.3799999,2.1,0,-19.98057,0.09879841,0.2934251,0,0,0,0,0
0.3999999,2.1,0,-19.97848,0.1047721,0.2986836,0,0,0,0,0
0.4199998,2.1,0,-19.97626,0.1108524,0.3040146,0,0,0,0,0
0.4399998,2.1,0,-19.97392,0.1170407,0.3094164,0,0,0,0,0
0.4599998,2.1,0,-19.97145,0.1233384,0.3148875,0,0,0,0,0
0.4799998,2.1,0,-19.96886,0.129747,0.3204262,0,0,0,0,0
0.4999998,2.1,0,-19.96613,0.1362676,0.3260309,0,0,0,0,0
0.5199998,2.1,0,-19.96328,0.1429016,0.3317001,0,0,0,0,0
0.5399998,2.1,0,-19.96028,0.1496502,0.3374322,0,0,0,0,0
0.5599998,2.1,0,-19.95715,0.1565147,0.3432257,0,0,0,0,0
0.5799998,2.1,0,-19.95388,0.1634963,0.3490792,0,0,0,0,0
0.5999998,2.1,0,-19.95047,0.1705961,0.354991,0,0,0,0,0
0.6199998,2.1,0,-19.94691,0.1778153,0.3609598,0,0,0,0,0
0.6399997,2.1,0,-19.94321,0.185155,0.3669842,0,0,0,0,850
0.6599998,2.1,0,-19.93936,0.1926163,0.3730627,0,0,0,0,854.2725
0.6799998,2.1,0,-19.93536,0.2002001,0.379194,0,0,0,0,854.9484
0.6999997,2.1,0,-19.9312,0.2079077,0.3853766,0,0,0,0,855.6301
0.7199997,2.1,0,-19.92688,0.2157399,0.3916093,0,0,0,0,856.3173
0.7399997,2.1,0,-19.92241,0.2236977,0.3978906,0,0,0,0,857.0098
0.7599998,2.1,0,-19.91777,0.2317821,0.4042193,0,0,0,0,857.7076
0.7799997,2.1,0,-19.91297,0.2399939,0.4105942,0,0,0,0,858.4106
0.7999997,2.1,0,-19.90801,0.2483342,0.4170137,0,0,0,0,859.1184
0.8199997,2.1,0,-19.90287,0.2568038,0.4234769,0,0,0,0,859.8311
0.8399997,2.1,0,-19.89756,0.2654034,0.4299823,0,0,0,0,860.5484
0.8599997,2.1,0,-19.89208,0.274134,0.436529,0,0,0,0,861.2703
0.8799997,2.1,0,-19.88642,0.2829963,0.4431154,0,0,0,0,861.9966
0.8999997,2.1,0,-19.88058,0.2919911,0.4497405,0,0,0,0,862.7272
0.9199997,2.1,0,-19.87456,0.3011192,0.4564032,0,0,0,0,863.4619
0.9399996,2.1,0,-19.86835,0.3103812,0.4631023,0,0,0,0,864.2007
0.9599997,2.1,0,-19.86195,0.319778,0.4698367,0,0,0,0,864.9434
0.9799997,2.1,0,-19.85537,0.3293101,0.4766051,0,0,0,0,865.6898
0.9999996,2.1,0,-19.84859,0.3389782,0.4834067,0,0,0,0,866.4399
1.02,2.1,0,-19.84161,0.348783,0.4902402,0,0,0,0,867.1936
1.04,2.1,0,-19.83444,0.3587251,0.4971046,0,0,0,0,867.9507
1.06,2.1,0,-19.82706,0.3688051,0.5039988,0,0,0,0,868.7111
1.08,2.1,0,-19.81948,0.3790235,0.5109218,0,0,0,0,869.4747
1.1,2.1,0,-19.8117,0.389381,0.5178728,0,0,0,0,870.2414
1.12,2.1,0,-19.8037,0.399878,0.5248504,0,0,0,0,871.011
1.14,2.1,0,-19.79549,0.410515,0.5318537,0,0,0,0,871.7836
1.16,2.1,0,-19.78706,0.4212927,0.538882,0,0,0,0,872.5588
1.18,2.1,0,-19.77842,0.4322113,0.545934,0,0,0,0,873.3367
1.2,2.1,0,-19.76955,0.4432715,0.5530091,0,0,0,0,874.1172
1.22,2.1,0,-19.76046,0.4544736,0.5601061,0,0,0,0,874.9001
1.24,2.1,0,-19.75115,0.4658181,0.5672243,0,0,0,0,875.6854
1.26,2.1,0,-19.7416,0.4773054,0.5743626,0,0,0,0,876.473
1.279999,2.1,0,-19.73182,0.4889358,0.5815202,0,0,0,0,877.2626
1.3,2.1,0,-19.72181,0.5007097,0.5886962,0,0,0,0,878.0544
1.32,2.1,0,-19.71156,0.5126275,0.5958898,0,0,0,0,878.8481
1.34,2.1,0,-19.70106,0.5246895,0.6031001,0,0,0,0,879.6437
1.36,2.1,0,-19.69032,0.536896,0.6103263,0,0,0,0,880.441
1.38,2.1,0,-19.67934,0.5492473,0.6175676,0,0,0,0,881.2401
1.399999,2.1,0,-19.6681,0.5617438,0.6248232,0,0,0,0,882.0407
1.419999,2.1,0,-19.65662,0.5743856,0.6320922,0,0,0,0,882.8429
1.439999,2.1,0,-19.64487,0.5871731,0.6393739,0,0,0,0,883.6464
1.459999,2.1,0,-19.63287,0.6001065,0.6466675,0,0,0,0,884.4514
1.479999,2.1,0,-19.62061,0.6131859,0.6539722,0,0,0,0,885.2576
1.5,2.1,0,-19.60808,0.6264117,0.6612873,0,0,0,0,886.0649
1.52,2.1,0,-19.59528,0.6397839,0.6686122,0,0,0,0,886.8734
1.539999,2.1,0,-19.58222,0.6533028,0.6759461,0,0,0,0,887.6829
1.559999,2.1,0,-19.56888,0.6669686,0.6832883,0,0,0,0,888.4933
1.579999,2.1,0,-19.55526,0.6807814,0.690638,0,0,0,0,889.3046
1.599999,2.1,0,-19.54136,0.6947412,0.6979945,0,0,0,0,890.1167
1.619999,2.1,0,-19.52719,0.7088484,0.7053573,0,0,0,0,890.9295
1.639999,2.1,0,-19.51273,0.7231029,0.7127256,0,0,0,0,891.743
1.659999,2.1,0,-19.49798,0.7375049,0.7200988,0,0,0,0,892.557
1.679999,2.1,0,-19.48293,0.7520544,0.7274764,0,0,0,0,893.3715
1.699999,2.1,0,-19.4676,0.7667515,0.7348574,0,0,0,0,894.1865
1.719999,2.1,0,-19.45197,0.7815964,0.7422415,0,0,0,0,895.0018
1.739999,2.1,0,-19.43604,0.7965889,0.749628,0,0,0,0,895.8174
1.759999,2.1,0,-19.4198,0.8117292,0.7570162,0,0,0,0,896.6334
1.779999,2.1,0,-19.40326,0.8270173,0.7644057,0,0,0,0,897.4494
1.799999,2.1,0,-19.38641,0.8424532,0.7717957,0,0,0,0,898.2656
1.819999,2.1,0,-19.36925,0.8580369,0.7791858,0,0,0,0,899.0817
1.839999,2.1,0,-19.35177,0.8737684,0.7865754,0,0,0,0,899.8979
1.859999,2.1,0,-19.33398,0.8896477,0.7939639,0,0,0,0,900.714
1.879999,2.1,0,-19.31587,0.9056748,0.8013509,0,0,0,0,901.53
1.899999,2.1,0,-19.29743,0.9218495,0.8087357,0,0,0,0,902.3457
1.919999,2.1,0,-19.27867,0.9381719,0.8161179,0,0,0,0,903.1613
1.939999,2.1,0,-19.25957,0.9546418,0.8234969,0,0,0,0,903.9764
1.959999,2.1,0,-19.24015,0.9712592,0.8308722,0,0,0,0,904.7913
1.979999,2.1,0,-19.22039,0.9880241,0.8382434,0,0,0,0,905.6057
1.999999,2.1,0,-19.20029,1.004936,0.8456098,0,0,0,0,906.4197
2.019999,2.1,0,-19.17985,1.021996,0.8529712,0,0,0,0,907.2332
2.039999,2.1,0,-19.15907,1.039202,0.8603269,0,0,0,0,908.046
2.059999,2.1,0,-19.13794,1.056556,0.8676766,0,0,0,0,908.8582
2.079999,2.1,0,-19.11646,1.074056,0.8750197,0,0,0,0,909.6698
2.099999,2.1,0,-19.09462,1.091703,0.8823558,0,0,0,0,910.4807
2.119999,2.1,0,-19.07243,1.109497,0.8896847,0,0,0,0,911.2908
2.139999,2.1,0,-19.04988,1.127437,0.8970058,0,0,0,0,912.1
2.159999,2.1,0,-19.02697,1.145524,0.9043185,0,0,0,0,912.9084
2.179999,2.1,0,-19.0037,1.163756,0.9116225,0,0,0,0,913.7159
2.199999,2.1,0,-18.98005,1.182134,0.9189174,0,0,0,0,914.5225
2.219999,2.1,0,-18.95604,1.200658,0.9262031,0,0,0,0,915.3281
2.239999,2.1,0,-18.93165,1.219328,0.9334787,0,0,0,0,916.1326
2.259999,2.1,0,-18.90689,1.238143,0.9407441,0,0,0,0,916.936
2.279999,2.1,0,-18.88175,1.257103,0.9479988,0,0,0,0,917.7383
2.299999,2.1,0,-18.85622,1.276208,0.9552426,0,0,0,0,918.5395
2.319999,2.1,0,-18.83031,1.295457,0.962475,0,0,0,0,919.3394
2.339999,2.1,0,-18.80402,1.314851,0.9696958,0,0,0,0,920.1381
